1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	239.2619	242.2178	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	120.1419	119.7055	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	239.8581	237.1158	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	119.5384	124.8336	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	240.4616	236.8074	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	118.9275	122.5004	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	241.0725	240.9221	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	118.3094	119.7311	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	241.6906	243.8713	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	117.684	117.805	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	242.316	241.1257	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	117.0514	112.8879	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	242.9486	244.9867	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	116.4115	121.1442	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	243.5885	242.2025	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	115.7645	117.1231	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	244.2355	245.8592	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	115.1104	111.4661	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	244.8896	241.3123	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	114.4491	114.7925	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	245.5509	243.4259	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	113.7809	115.3116	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	246.2191	246.4877	3
1	1/20/2024 12:51:09 AM	1	(30.00, 0.00, 0.00)	113.1057	110.9658	3
1	1/20/2024 12:51:09 AM	0	(-30.00, 0.00, 0.00)	246.8943	240.6073	3
1	1/20/2024 12:51:10 AM	1	(30.00, 0.00, 0.00)	112.4237	113.2383	3
1	1/20/2024 12:51:10 AM	0	(-30.00, 0.00, 0.00)	247.5764	247.3241	3
1	1/20/2024 12:51:10 AM	1	(30.00, 0.00, 0.00)	111.7348	109.8086	3
1	1/20/2024 12:51:10 AM	0	(-30.00, 0.00, 0.00)	248.2652	250.8588	3
1	1/20/2024 12:51:10 AM	1	(30.00, 0.00, 0.00)	111.0394	111.1012	3
1	1/20/2024 12:51:10 AM	0	(-30.00, 0.00, 0.00)	248.9606	251.5739	3
1	1/20/2024 12:51:10 AM	1	(30.00, 0.00, 0.00)	110.3373	107.3434	3
1	1/20/2024 12:51:10 AM	0	(-30.00, 0.00, 0.00)	249.6627	250.2745	3
1	1/20/2024 12:51:10 AM	1	(30.00, 0.00, 0.00)	109.6289	111.7161	3
1	1/20/2024 12:51:10 AM	0	(-30.00, 0.00, 0.00)	250.3711	244.2447	3
1	1/20/2024 12:51:10 AM	1	(30.00, 0.00, 0.00)	108.9141	105.7529	3
1	1/20/2024 12:51:10 AM	0	(-30.00, 0.00, 0.00)	251.0859	253.6995	3
1	1/20/2024 12:51:10 AM	1	(30.00, 0.00, 0.00)	108.1932	112.1223	3
1	1/20/2024 12:51:10 AM	0	(-30.00, 0.00, 0.00)	251.8068	251.6838	3
1	1/20/2024 12:51:10 AM	1	(30.00, 0.00, 0.00)	107.4662	108.6403	3
1	1/20/2024 12:51:10 AM	0	(-30.00, 0.00, 0.00)	252.5338	248.4097	3
